id_componente,anio,mes,ftes
492,2022,1,0.0025
493,2022,1,1.4614
494,2022,1,0.0555
495,2022,1,0.4426
496,2022,1,0
497,2022,1,0.7444
498,2022,1,0
499,2022,1,1.367
500,2022,1,17.7806
501,2022,1,4.9997
502,2022,1,0.8608
503,2022,1,0.1563
507,2022,1,0.834
508,2022,1,24.1565
509,2022,1,1.8704
510,2022,1,0.6179
511,2022,1,7.7158
512,2022,1,0.1133
513,2022,1,0.1275
514,2022,1,0.1489
515,2022,1,0
516,2022,1,0
517,2022,1,0.127
518,2022,1,0
520,2022,1,0.0613
521,2022,1,0.0659
522,2022,1,0
523,2022,1,0
525,2022,1,0
526,2022,1,0.3947
527,2022,1,0.0901
528,2022,1,0
529,2022,1,0.0037
530,2022,1,0
531,2022,1,0
533,2022,1,0.0148
534,2022,1,0
2,2022,2,0.3483
3,2022,2,1.3346
4,2022,2,0.3482
5,2022,2,1.9697
17,2022,2,0.2714
18,2022,2,5.0144
20,2022,2,0.6368
22,2022,2,3.2283
24,2022,2,3.1666
25,2022,2,0
28,2022,2,16.8714
30,2022,2,0.3008
31,2022,2,0.4706
33,2022,2,1.5731
34,2022,2,0.3333
43,2022,2,1.9798
45,2022,2,2.746
46,2022,2,0.0328
49,2022,2,2.0052
50,2022,2,4.6902
52,2022,2,0.4926
66,2022,2,0.0865
69,2022,2,0.6194
73,2022,2,1.7019
74,2022,2,1.75
76,2022,2,1.5589
77,2022,2,0.3015
79,2022,2,0.0134
80,2022,2,9.8897
82,2022,2,4.2255
84,2022,2,4.1146
85,2022,2,0
88,2022,2,1.1032
89,2022,2,0
90,2022,2,0
91,2022,2,76.43
92,2022,2,0.7279
93,2022,2,7.5293
95,2022,2,0
96,2022,2,2.9853
99,2022,2,0
100,2022,2,0.0012
104,2022,2,2.9303
105,2022,2,3.8189
108,2022,2,0.9044
112,2022,2,0.9191
113,2022,2,0.1746
114,2022,2,0.1078
116,2022,2,22.4709
119,2022,2,0.7025
122,2022,2,8.9629
125,2022,2,0.0072
136,2022,2,1.0368
137,2022,2,1.3552
138,2022,2,1.6897
139,2022,2,1.4706
142,2022,2,1.8666
145,2022,2,0
149,2022,2,2.0985
151,2022,2,0.0836
152,2022,2,2.4279
155,2022,2,0.788
169,2022,2,0.0012
170,2022,2,5.34
177,2022,2,5.0557
178,2022,2,1.1213
204,2022,2,1.5861
206,2022,2,0.559
212,2022,2,3.2886
216,2022,2,0.1358
218,2022,2,0
226,2022,2,0
227,2022,2,0
228,2022,2,0.1862
229,2022,2,27.559
233,2022,2,0.4375
258,2022,2,1.1581
263,2022,2,1.286
269,2022,2,0
270,2022,2,0
271,2022,2,0
272,2022,2,0
274,2022,2,4.3619
275,2022,2,0.2721
279,2022,2,0
280,2022,2,0
281,2022,2,0
282,2022,2,4.7644
283,2022,2,1.9085
286,2022,2,0
287,2022,2,0
290,2022,2,3.5466
296,2022,2,0.0023
297,2022,2,0.0015
298,2022,2,2.625
304,2022,2,0.8771
307,2022,2,0.1589
311,2022,2,8.3724
314,2022,2,0.0059
315,2022,2,0.4044
316,2022,2,15.0681
317,2022,2,0.9181
319,2022,2,0.2912
320,2022,2,5.9147
321,2022,2,2.6081
323,2022,2,3.2138
326,2022,2,0
329,2022,2,10.7632
330,2022,2,1.1227
332,2022,2,1.2279
333,2022,2,1.3099
335,2022,2,1.3252
336,2022,2,0.9043
340,2022,2,7.7898
342,2022,2,1.2918
346,2022,2,0.0809
347,2022,2,0.53
348,2022,2,0.4401
349,2022,2,0
350,2022,2,0.0658
352,2022,2,2.8412
354,2022,2,0
355,2022,2,0.0044
356,2022,2,0.0588
363,2022,2,0.5254
364,2022,2,0
365,2022,2,0.8116
366,2022,2,0.5383
367,2022,2,0.0509
369,2022,2,0
370,2022,2,0
371,2022,2,0
372,2022,2,0
373,2022,2,0
374,2022,2,0
375,2022,2,0
376,2022,2,0
377,2022,2,0.0705
379,2022,2,0.3842
382,2022,2,0.8017
