runner_id,machine,role_id
23366,RB0B0810377,1084
23367,RB0B0915623,1125
23368,RB0B0915623,1126
23369,RB0B0915623,1127
23370,RB0B0915623,1128
23371,RB0B0915623,1144
23372,RB0B0915564,1125
23373,RB0B0915564,1126
23374,RB0B0915564,1127
23375,RB0B0915564,1128
23376,RB0B0915564,1144
23377,RB0B0915659,1125
23378,RB0B0915659,1126
23379,RB0B0915659,1127
23380,RB0B0915659,1128
23381,RB0B0915659,1144
23382,RB0B0915707,1125
23383,RB0B0915707,1126
23384,RB0B0915707,1127
23385,RB0B0915707,1128
23386,RB0B0915707,1144
23387,PB0B0812656,1142
23388,PB0B0812656,1143
23389,DB0B0826493,1173
23391,RB0B0903419,1175
23392,RB0B0903419,1176
23393,RB0B0903419,1177
23394,RB0B0903419,1178
23395,RB0B0877699,1179
23396,DB0B0828852,1179
23397,DB0B0915657,1179
23398,PB0B0921467,1180
23399,RB0B0915702,1108
23400,DB0B0810091,1108
23401,DB0B0898898,1108
23402,DB0B0915702,1109
23403,DB0B0810091,1109
23404,DB0B0898898,1109
23405,RB0B0915702,1110
23406,DB0B0810091,1110
23407,DB0B0898898,1110
23408,DB0B0826287,1181
23409,RB0B0826287,1182
23410,RB0B0826287,1183
23411,RB0B0826287,1184
23412,RB0B0826287,1185
23413,RB0B0826287,1186
23414,RB0B0826287,1187
23415,RB0B0826287,1188
23416,DB0B0915592,1154
23417,DB0B0915592,1155
23418,DB0B0915592,1156
23419,RB0B0915593,1154
23420,RB0B0915593,1155
23421,DB0B0915593,1156
23422,DB0B0915614,1154
23423,DB0B0915614,1155
23424,DB0B0915614,1156
23425,DB0B0915677,1154
23426,DB0B0915677,1155
23427,DB0B0915677,1156
23428,DB0B0915668,1154
23429,DB0B0915668,1155
23430,DB0B0915668,1156
23431,DB0B0915694,1154
23432,DB0B0915694,1155
23433,RB0B0915694,1156
23434,DB0B0826437,1154
23435,DB0B0826437,1155
23436,RB0B0826437,1156
23437,RB0B0818676,1189
23438,DB0B0915677,1
23439,DB0B0915668,1
23440,localhost,1190
23441,localhost,1191
23442,localhost,1192
23443,localhost,1193
23444,DB0B0813575,1194
23445,DB0B0813575,1195
23446,DB0B0813575,1197
23447,DB0B0813575,1198
23448,DB0B0813575,1199
23449,DB0B0813575,1200
23450,DB0B0813575,1201
23451,DB0B0813575,1196
23452,DB0B0826203,1195
23453,DB0B0826203,1197
23454,DB0B0826203,1198
23455,DB0B0826203,1199
23456,DB0B0826207,1200
23457,DB0B0826203,1201
23458,DB0B0826203,1194
23459,DB0B0826203,1196
23460,DB0B0810284,1197
23461,DB0B0810284,1198
23462,DB0B0810284,1199
23463,DB0B0810290,1200
23464,DB0B0810291,1201
23465,DB0B0810284,1194
23466,DB0B0810284,1195
23467,DB0B0810284,1196
23468,DB0B0903344,1202
23469,DB0B0903344,1203
23470,DB0B0903344,1204
23471,DB0B0903344,1205
23472,DB0B0810032,1206
23473,DB0B0810030,1206
23474,DB0B0826352,1206
23475,DB0B0813279,1206
23476,DB0B0809877,1206
23477,DB0B0810032,1207
23478,DB0B0810030,1207
23479,DB0B0826352,1207
23480,DB0B0813279,1207
23481,DB0B0809877,1207
23482,DB0B0810032,1208
23483,DB0B0810030,1208
23484,DB0B0826352,1208
23485,DB0B0813279,1208
23486,DB0B0809877,1208
23487,DB0B0810032,1209
23488,DB0B0810030,1209
23489,DB0B0826352,1209
23490,DB0B0813279,1209
23491,DB0B0809877,1209
23492,DB0B0810032,1210
23493,DB0B0810030,1210
23494,DB0B0826352,1210
23495,DB0B0813279,1210
23496,DB0B0809877,1210
23497,DB0B0810032,1211
23498,DB0B0810030,1211
23499,DB0B0826352,1211
23500,DB0B0813279,1211
23501,DB0B0809877,1211
23502,DB0B0810032,1212
23503,DB0B0810030,1212
23504,DB0B0826352,1212
23505,DB0B0813279,1212
23506,DB0B0809877,1212
23512,RB0B0915578,1139
23513,RB0B0915578,1140
23514,RB0B0915578,1138
23515,RB0B0915578,1142
23516,RB0B0915578,1143
23517,RB0B0830131,1213
23518,RB0B0830131,1214
23519,RB0B0830131,1215
23520,RB0B0830131,1216
23521,RB0B0830131,1217
23522,RB0B0830131,1218
23523,RB0B0830131,1219
23524,DB0B0815071,1213
23525,DB0B0815071,1214
23526,DB0B0815071,1215
